192.168.0.169 - - [08/Mar/2013:17:11:08 +0800] "GET / HTTP/1.1" 200 652
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:09 +0800] "GET /Gravifile/ HTTP/1.1" 500 3650
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:12 +0800] "GET / HTTP/1.1" 200 652
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:12 +0800] "GET /images/bg.png HTTP/1.1" 200 100224
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:54 +0800] "GET / HTTP/1.1" 200 652
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:54 +0800] "GET /images/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:55 +0800] "GET / HTTP/1.1" 200 652
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:55 +0800] "GET /images/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:55 +0800] "GET / HTTP/1.1" 200 652
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:55 +0800] "GET /images/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:55 +0800] "GET / HTTP/1.1" 200 652
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:55 +0800] "GET /images/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:55 +0800] "GET / HTTP/1.1" 200 652
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:56 +0800] "GET /images/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:59 +0800] "GET / HTTP/1.1" 200 652
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:11:59 +0800] "GET /images/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:12:00 +0800] "GET / HTTP/1.1" 200 652
0:0:0:0:0:0:0:1%0 - - [08/Mar/2013:17:12:00 +0800] "GET /images/bg.png HTTP/1.1" 304 -
